City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1,Hithadhoo,MV,81.48,overcast clouds,-0.6,73.0833,Scoop Guest House
8,Port-Gentil,GA,85.96,light rain,-0.7193,8.7815,Fengshui Residence
11,Mar Del Plata,AR,77.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
17,Punta Alta,AR,86.77,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
20,Kasongo-Lunda,CD,85.08,overcast clouds,-6.4667,16.8167,
22,Rikitea,PF,77.07,overcast clouds,-23.1203,-134.9692,People ThankYou
23,Katobu,ID,76.73,overcast clouds,-4.9408,122.5276,La Ode Husein
26,Vila Velha,BR,89.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
28,Grand-Lahou,CI,86.65,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
29,Metro,ID,77.05,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
36,Kieta,PG,79.88,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
45,La Asuncion,VE,79.09,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
53,Vaini,TO,81.68,overcast clouds,-21.2,-175.2,Keleti Beach Resort
54,Port Elizabeth,ZA,81.1,few clouds,-33.918,25.5701,39 On Nile Guest House
55,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
58,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
59,Rosa Zarate,EC,79.34,overcast clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
60,Butaritari,KI,81.16,light rain,3.0707,172.7902,Isles Sunset Lodge
61,Cape Town,ZA,75.61,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
67,Atuona,PF,76.73,clear sky,-9.8,-139.0333,Villa Enata
69,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
78,Kruisfontein,ZA,78.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
83,Alta Floresta,BR,80.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
85,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
89,Bodden Town,KY,80.01,few clouds,19.2833,-81.25,Will T Place
95,Bredasdorp,ZA,81.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
96,Mahebourg,MU,82.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
97,Wad Madani,SD,81.16,broken clouds,14.4012,33.5199,فندق يوغسلافيا
100,Arraial Do Cabo,BR,85.96,light rain,-22.9661,-42.0278,Pousada Porto Praia
104,Chuy,UY,75.92,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
105,Faanui,PF,80.24,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,Lagunas,PE,88.79,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
109,Buchanan,LR,89.56,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
110,Bowen,AU,75.42,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
115,Eirunepe,BR,86.47,overcast clouds,-6.6603,-69.8736,Atrás de você
118,Souillac,MU,82.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
124,Belmonte,BR,77.5,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
126,Hervey Bay,AU,77.02,few clouds,-25.2986,152.8535,Shelly Bay Resort
129,Kavieng,PG,80.94,light rain,-2.5744,150.7967,Nusa Island Retreat
131,Padang,ID,78.33,moderate rain,-0.9492,100.3543,Mercure Padang
136,Kulhudhuffushi,MV,81.68,scattered clouds,6.6221,73.07,Haajy Guest House 1
139,Bandarbeyla,SO,77.0,scattered clouds,9.4942,50.8122,JABIR HOTEL
144,Monte Alegre De Minas,BR,77.65,overcast clouds,-18.8706,-48.8808,Hotel Via Hotel
145,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
146,Arlit,NE,82.81,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
149,De Aar,ZA,89.58,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
150,Takoradi,GH,86.16,overcast clouds,4.8845,-1.7554,Raybow International Hotel
154,Hermanus,ZA,81.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
163,Goundam,ML,89.53,scattered clouds,16.4145,-3.6708,
166,Kununurra,AU,78.78,light rain,-15.7667,128.7333,Hotel Kununurra
171,Bambanglipuro,ID,78.55,moderate rain,-7.95,110.2833,Puri Brata
172,Diffa,NE,78.21,few clouds,13.3154,12.6113,ProDAF/Diffa
173,Mogadishu,SO,79.3,scattered clouds,2.0371,45.3438,Hotel Juba
176,Papara,BR,81.0,light rain,-3.9839,-38.7273,Bela vista Maranguape
177,Ratholo,BW,76.5,overcast clouds,-22.7245,27.572,
181,Rabaul,PG,80.44,light rain,-4.1967,152.1721,Rabaul Hotel
182,Adrar,MR,86.02,overcast clouds,20.5022,-10.0711,
184,Najran,SA,77.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
191,Santa Isabel Do Rio Negro,BR,81.16,moderate rain,-0.4139,-65.0192,Hotel GSA
194,Takaungu,KE,84.69,clear sky,-3.6837,39.8566,Takaungu House
196,Sai Buri,TH,76.59,clear sky,6.7013,101.6168,ร้าน​ เวดดิ้ง
197,Bambous Virieux,MU,82.65,light rain,-20.3428,57.7575,Casa Tia Villa
198,Manta,EC,76.78,light rain,-0.95,-80.7333,Balandra Hotel
199,Tiarei,PF,77.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
200,Sao Joao Da Barra,BR,89.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
202,Banda Aceh,ID,79.47,clear sky,5.5577,95.3222,Sulthan Hotel International
205,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
206,Mahajanga,MG,86.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
208,Samarai,PG,79.27,moderate rain,-10.6167,150.6667,Nuli Sapi
219,Janauba,BR,82.81,overcast clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
220,Merauke,ID,80.6,light rain,-8.4667,140.3333,
222,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
231,Port Hedland,AU,86.05,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
232,Inhambane,MZ,86.0,few clouds,-23.865,35.3833,Oceano
234,Sibu,MY,79.11,few clouds,2.3,111.8167,RH HOTEL (4 Star)
237,Puerto Escondido,MX,79.81,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
238,Sarangani,PH,81.95,overcast clouds,5.4033,125.4636,Ballistic Islet
243,Bubaque,GW,79.95,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
245,Sabang,ID,82.69,clear sky,5.8933,95.3214,Hotel Citra
247,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
249,Boyolangu,ID,77.34,overcast clouds,-8.1181,111.8935,Yos ega cv
252,Iracoubo,GF,81.3,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
254,Biak,ID,76.12,overcast clouds,-0.9131,122.8766,Penginapan Kim
255,Lorengau,PG,79.61,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
256,Kavaratti,IN,81.48,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
261,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
273,Rocha,UY,78.03,clear sky,-34.4833,-54.3333,Hotel Arrarte
277,Banjar,ID,82.26,heavy intensity rain,-8.19,114.9675,The Hamsa Resort
278,Caravelas,BR,87.21,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
280,Contamana,PE,84.74,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
282,Saint-Pierre,RE,82.08,broken clouds,-21.3393,55.4781,Lindsey Hôtel
283,Iquitos,PE,86.04,clear sky,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
284,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
289,Gashua,NG,82.56,few clouds,12.871,11.0482,Forte Oil - Old Lorry Park
291,Marolambo,MG,75.07,clear sky,-20.05,48.1167,local guide suport centre
295,Rawson,AR,79.43,clear sky,-43.3002,-65.1023,Hosteria Sampedro
296,Rio Grande,BR,78.91,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
