City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,81.99,84,61,9.71,light rain
1,Hithadhoo,MV,-0.6,73.0833,81.48,66,100,5.28,overcast clouds
2,Ponta Do Sol,PT,32.6667,-17.1,71.71,52,94,7.23,overcast clouds
3,Aanekoski,FI,62.6946,25.818,28.47,100,100,14.54,light snow
4,Arman,RU,59.7,150.1667,7.03,82,82,13.67,broken clouds
5,Price,US,39.5994,-110.8107,18.41,73,1,3.44,clear sky
6,Warrnambool,AU,-38.3833,142.4833,62.82,90,90,8.57,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,60.42,72,75,6.91,broken clouds
8,Port-Gentil,GA,-0.7193,8.7815,85.96,74,40,11.5,light rain
9,Haines Junction,CA,60.7522,-137.5108,12.15,79,100,10.36,light snow
10,Asyut,EG,27.181,31.1837,64.58,36,3,10.8,clear sky
11,Mar Del Plata,AR,-38.0023,-57.5575,77.02,55,0,8.99,clear sky
12,Kaeo,NZ,-35.1,173.7833,61.38,83,58,8.14,broken clouds
13,Fairbanks,US,64.8378,-147.7164,-5.46,66,0,0.0,clear sky
14,Cabo San Lucas,MX,22.8909,-109.9124,68.5,77,70,3.71,broken clouds
15,Sault Sainte Marie,CA,46.5168,-84.3333,1.69,71,90,5.75,light shower snow
16,Norman Wells,CA,65.282,-126.8329,-30.96,68,75,2.3,light snow
17,Punta Alta,AR,-38.8759,-62.0736,86.77,32,0,24.16,clear sky
18,Jamestown,US,42.097,-79.2353,10.71,61,100,3.0,overcast clouds
19,Chupa,RU,66.27,33.0549,2.97,100,33,4.0,scattered clouds
20,Kasongo-Lunda,CD,-6.4667,16.8167,85.08,57,95,4.76,overcast clouds
21,Edson,CA,53.5835,-116.4356,32.14,59,100,2.3,overcast clouds
22,Rikitea,PF,-23.1203,-134.9692,77.07,76,85,11.95,overcast clouds
23,Katobu,ID,-4.9408,122.5276,76.73,85,100,1.41,overcast clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,100,14.97,light snow
25,Sioux Lookout,CA,50.1001,-91.917,-0.02,84,100,5.75,overcast clouds
26,Vila Velha,BR,-20.3297,-40.2925,89.55,61,0,14.0,clear sky
27,Mataura,NZ,-46.1927,168.8643,62.47,86,100,2.13,moderate rain
28,Grand-Lahou,CI,5.1367,-5.0242,86.65,63,55,11.95,broken clouds
29,Metro,ID,-5.1131,105.3067,77.05,85,100,2.75,overcast clouds
30,Naze,JP,28.3667,129.4833,55.4,85,100,11.56,overcast clouds
31,Nikolskoye,RU,59.7035,30.7861,25.39,94,100,7.99,overcast clouds
32,Panguna,PG,-6.3164,155.4848,69.76,96,100,0.45,moderate rain
33,Pyaozerskiy,RU,65.8333,31.1667,14.63,96,99,4.25,overcast clouds
34,Airai,TL,-8.9266,125.4092,60.8,89,100,3.51,overcast clouds
35,Leningradskiy,RU,69.3833,178.4167,-1.34,79,96,3.96,overcast clouds
36,Kieta,PG,-6.2167,155.6333,79.88,85,100,5.46,overcast clouds
37,Bluff,NZ,-46.6,168.3333,62.8,86,100,6.67,light rain
38,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,55,0,6.91,haze
39,Vardo,NO,70.3705,31.1107,19.6,81,100,11.05,overcast clouds
40,Goderich,CA,43.7501,-81.7165,3.9,85,53,9.22,broken clouds
41,Qaanaaq,GL,77.484,-69.3632,-11.04,54,46,9.01,scattered clouds
42,Zhigansk,RU,66.7697,123.3711,-14.87,100,99,9.46,overcast clouds
43,Gushikawa,JP,26.3544,127.8686,61.83,94,75,10.36,broken clouds
44,Lagoa,PT,39.05,-27.9833,58.48,74,5,11.61,clear sky
45,La Asuncion,VE,11.0333,-63.8628,79.09,67,27,9.33,scattered clouds
46,Pacific Grove,US,36.6177,-121.9166,54.5,49,0,1.01,clear sky
47,Yellowknife,CA,62.456,-114.3525,-8.59,95,90,4.61,light snow
48,Asau,RO,46.4333,26.4,32.92,84,84,3.2,broken clouds
49,Ancud,CL,-41.8697,-73.8203,67.42,61,8,8.12,clear sky
50,East London,ZA,-33.0153,27.9116,74.34,68,75,14.97,broken clouds
51,Kodiak,US,57.79,-152.4072,27.91,69,100,23.02,light snow
52,Kapaa,US,22.0752,-159.319,71.92,91,75,13.8,broken clouds
53,Vaini,TO,-21.2,-175.2,81.68,80,100,14.9,overcast clouds
54,Port Elizabeth,ZA,-33.918,25.5701,81.1,64,20,13.8,few clouds
55,Avarua,CK,-21.2078,-159.775,77.05,88,20,4.61,few clouds
56,Port Alfred,ZA,-33.5906,26.891,72.84,64,21,14.54,few clouds
57,New Norfolk,AU,-42.7826,147.0587,61.92,97,12,0.47,few clouds
58,Port Blair,IN,11.6667,92.75,80.64,74,75,9.22,mist
59,Rosa Zarate,EC,0.3333,-79.4667,79.34,79,100,2.3,overcast clouds
60,Butaritari,KI,3.0707,172.7902,81.16,81,57,16.91,light rain
61,Cape Town,ZA,-33.9258,18.4232,75.61,59,0,7.0,clear sky
62,Sorland,NO,67.667,12.6934,35.46,93,100,21.5,light rain
63,Hobart,AU,-42.8794,147.3294,62.26,76,100,6.91,overcast clouds
64,Busselton,AU,-33.65,115.3333,73.09,86,0,16.06,clear sky
65,Dikson,RU,73.5069,80.5464,0.21,94,98,20.36,overcast clouds
66,Svetlaya,RU,46.5389,138.3297,-1.19,74,24,9.73,few clouds
67,Atuona,PF,-9.8,-139.0333,76.73,76,0,12.21,clear sky
68,Saskylakh,RU,71.9167,114.0833,-18.13,97,87,4.07,overcast clouds
69,Georgetown,MY,5.4112,100.3354,84.88,80,20,5.01,few clouds
70,Emmauss,RU,56.7805,36.115,20.46,98,97,3.89,overcast clouds
71,Hilo,US,19.7297,-155.09,66.79,75,40,6.91,scattered clouds
72,Port Hawkesbury,CA,45.6169,-61.3485,31.91,98,90,10.0,snow
73,Sarkand,KZ,45.41,79.9186,28.58,84,100,5.37,light snow
74,Bandarban,BD,22.1965,92.2262,65.91,74,0,2.19,clear sky
75,Laguna,US,38.421,-121.4238,51.01,92,0,3.44,mist
76,Bethel,US,41.3712,-73.414,21.94,81,100,10.36,haze
77,Tingo Maria,PE,-9.2895,-76.0088,73.71,94,100,0.0,light rain
78,Kruisfontein,ZA,-34.0033,24.7314,78.89,51,0,13.89,clear sky
79,Pauini,BR,-7.7136,-66.9764,74.98,97,100,3.6,overcast clouds
